customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-00021,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),23.1,633.61,Yes
C-00022,Male,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,86.6,2248.84,Yes
C-00023,Female,1,No,No,50,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),97.42,4864.08,No
C-00024,Female,1,Yes,No,63,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,57.13,3595.48,No
C-00025,Female,1,Yes,No,51,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),58.56,2983.1,No
C-00026,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.04,744.37,No
C-00027,Female,1,No,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,33.69,2156.08,No
C-00028,Female,1,No,Yes,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),87.41,1491.34,No
C-00029,Female,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.18,2123.19,No
C-00030,Female,0,No,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.91,1390.53,Yes
C-00031,Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.94,693.21,No
C-00032,Male,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,60.23,729.71,No
C-00033,Female,0,No,No,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.67,2407.1,No
C-00034,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),64.19,3474.81,No
C-00035,Female,0,Yes,Yes,42,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,63.42,2669.3,No
C-00036,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,84.31,3627.24,No
C-00037,Female,0,Yes,No,67,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,61.82,4150.06,Yes
C-00038,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.33,620.57,No
C-00039,Male,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.37,491.93,No
C-00040,Male,0,No,No,35,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.38,1830.43,No
C-00041,Male,0,Yes,No,9,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,57.64,526.42,Yes
C-00042,Male,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.36,1861.29,No
C-00043,Female,0,Yes,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),74.33,817.1,No
C-00044,Female,0,Yes,No,61,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),55.83,3406.38,No
C-00045,Female,1,No,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),69.99,1190.92,No
C-00046,Female,0,No,No,62,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,50.32,3122.88,No
C-00047,Female,0,Yes,No,24,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,74.8,1795.32,Yes
C-00048,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),65.67,717.51,No
C-00049,Female,1,Yes,No,20,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,53.61,1079.34,No
C-00050,Female,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.33,491.07,No
C-00051,Male,1,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.65,213.66,No
C-00052,Female,0,No,No,63,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),60.06,3779.3,No
C-00053,Male,1,Yes,Yes,72,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,92.52,6664.18,No
C-00054,Female,0,Yes,Yes,49,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47.83,2347.95,Yes
C-00055,Male,1,No,No,61,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),70.52,4299.39,No
C-00056,Female,0,No,No,48,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,58.85,2831.04,No
C-00057,Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.29,1202.82,Yes
C-00058,Male,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.66,,No
C-00059,Male,0,Yes,No,24,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,74.81,1797.71,Yes
C-00060,Male,0,No,No,58,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,106.53,6179.42,Yes
C-00061,Male,1,Yes,No,71,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),62.23,4420.93,No
C-00062,Male,1,Yes,No,68,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,80.78,5486.38,No
C-00063,Male,0,No,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,72.74,294.66,Yes
C-00064,Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),93.39,1677.74,No
C-00065,Male,0,No,No,22,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),58.15,1278.34,No
C-00066,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),68.15,541.86,No
C-00067,Female,0,Yes,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,99.21,4860.77,No
C-00068,Male,0,No,No,15,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),44.44,669.03,No
C-00069,Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,98.38,3154.93,No
C-00070,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.92,23.59,No
C-00071,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),90.25,1169.71,Yes
C-00072,Female,0,No,No,0,No,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,63.07,,No
C-00073,Male,0,Yes,No,57,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,70.63,4029.69,No
C-00074,Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.75,293.18,No
C-00075,Male,1,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,68.08,3129.97,Yes
C-00076,Female,0,No,No,43,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),100.78,4334.8,No
C-00077,Female,0,No,No,13,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,46.84,604.8,Yes
C-00078,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),61.37,1405.69,No
C-00079,Male,0,Yes,No,54,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.21,3676.15,Yes
C-00080,Female,1,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.01,375.19,No
C-00081,Male,0,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.02,2122.39,No
C-00082,Female,0,No,Yes,33,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,48.91,1615.7,No
C-00083,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,93.32,86.84,No
C-00084,Female,1,No,Yes,26,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,47.08,1221.63,Yes
C-00085,Male,1,No,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,109.95,7801.83,Yes
C-00086,Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.71,524.23,No
C-00087,Female,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,72.74,4880.59,No
C-00088,Male,0,Yes,Yes,13,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),44.74,584.29,Yes
C-00089,Female,1,No,No,62,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,52.64,3264.53,No
C-00090,Female,0,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,34.98,2242.1,No
C-00091,Female,1,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,83.62,5593.14,No
C-00092,Female,0,No,Yes,62,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.36,4912.78,No
C-00093,Female,0,Yes,No,63,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,57.88,3638.34,No
C-00094,Female,0,No,Yes,31,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,73.04,2256.2,Yes
C-00095,Female,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.92,306.25,No
C-00096,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,103.25,6711.89,Yes
C-00097,Female,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,62.35,1114.59,Yes
C-00098,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,79.03,1826.39,Yes
C-00099,Female,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,65.01,657.19,No
C-00100,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),98.75,5736.93,No
C-00101,Male,0,Yes,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,48.08,663.97,No
C-00102,Female,1,No,No,9,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,65.66,597.97,Yes
C-00103,Female,1,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,86.57,3468.87,Yes
C-00104,Female,1,Yes,No,26,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),105.81,2759.1,No
C-00105,Female,1,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,34.08,2011.28,No
C-00106,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),72.48,5224.32,No
C-00107,Female,0,No,No,51,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),70.6,3591.63,No
C-00108,Female,0,Yes,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.18,563.38,No
C-00109,Female,0,No,No,64,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,66.59,4254.13,No
C-00110,Male,0,No,No,16,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,84.97,1367.82,Yes
C-00111,Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,71.44,3063.14,No
C-00112,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),99.91,891.19,No
C-00113,Female,0,No,No,62,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),47.7,2966.01,No
C-00114,Female,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,60.22,2762.27,No
C-00115,Male,0,Yes,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.88,742.96,No
C-00116,Female,0,No,No,69,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,81.98,5662.41,No
C-00117,Male,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,88.15,4574.61,Yes
C-00118,Female,1,Yes,No,43,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,60.6,2596.24,No
C-00119,Female,0,Yes,No,53,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,66.95,3549.04,No
C-00120,Male,0,Yes,Yes,19,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),73.15,1399.79,No
C-00121,Female,1,Yes,No,30,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),61.05,1839.08,No
C-00122,Male,1,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.75,162.7,No
C-00123,Female,1,Yes,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.69,1405.06,No
C-00124,Male,0,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),108.26,972.1,Yes
C-00125,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),60.29,547.29,No
C-00126,Female,0,No,No,38,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,71.86,2727.5,No
C-00127,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.62,819.7,No
C-00128,Male,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),80.38,2335.96,No
C-00129,Female,0,No,No,36,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),40.2,1446.36,No
C-00130,Female,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),94.48,6227.22,No
C-00131,Female,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,34.62,1459.84,No
C-00132,Male,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.63,1767.84,No
C-00133,Male,0,No,Yes,55,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),53.39,2936.24,No
C-00134,Male,0,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.99,1610.8,No
C-00135,Male,0,Yes,No,8,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,63.46,507.79,No
C-00136,Male,0,No,No,22,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.1,1391.17,Yes
C-00137,Male,1,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.62,1347.79,Yes
C-00138,Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.23,1756.07,Yes
C-00139,Male,0,No,No,39,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),91.86,3585.73,No
C-00140,Male,0,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,74.09,3188.15,No
C-00141,Female,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.52,564.58,No
C-00142,Male,0,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.9,1488.44,No
C-00143,Female,0,No,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.35,1669.66,No
C-00144,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,87.24,2795.54,No
C-00145,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),29.98,448.21,No
C-00146,Male,1,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.84,540.76,No
C-00147,Male,0,No,No,56,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),63.73,3574.07,No
C-00148,Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.1,1277.21,No
C-00149,Male,1,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,75.04,5256.38,No
C-00150,Female,1,Yes,Yes,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),73.62,5226.8,No
C-00151,Male,0,No,No,69,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.59,5489.25,Yes
C-00152,Male,0,Yes,Yes,29,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,57.14,1653.87,No
C-00153,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),108.46,2379.58,No
C-00154,Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),31.94,986.83,No
C-00155,Male,0,Yes,No,56,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),58.48,3272.71,No
C-00156,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,72.89,581.87,No
C-00157,Male,0,No,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.21,669.75,Yes
C-00158,Female,1,Yes,No,70,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),88.36,6184.27,No
C-00159,Male,1,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.21,655.61,No
C-00160,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.53,1305.15,No
C-00161,Male,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.69,4821.12,Yes
C-00162,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),92.87,181.28,No
C-00163,Female,0,Yes,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.35,1159.48,No
C-00164,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,75.07,1510.31,No
C-00165,Female,0,Yes,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.48,1612.97,No
C-00166,Male,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),97.95,4987.15,No
C-00167,Female,0,No,Yes,33,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.73,2137.57,No
C-00168,Male,0,Yes,Yes,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,105.01,3579.55,No
C-00169,Male,0,No,Yes,14,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,84.31,1185.28,No
C-00170,Female,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,88.33,441.49,No
C-00171,Female,0,No,No,31,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),70.28,2173.5,No
C-00172,Male,1,Yes,No,51,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,50.15,2553.23,No
C-00173,Male,0,Yes,Yes,27,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,63.63,1722.73,No
C-00174,Female,0,Yes,Yes,63,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.12,4108.17,No
C-00175,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,108.32,1950.33,Yes
C-00176,Female,0,Yes,No,14,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),70.23,975.64,No
C-00177,Male,0,No,No,5,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),65.26,334.98,Yes
C-00178,Male,0,No,Yes,72,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),63.04,4545.78,No
C-00179,Male,0,No,No,37,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),47.73,1758.82,No
C-00180,Male,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,79.91,1988.88,No
